company_name,location_count,dba_count,total_references
"Tyson Foods, Inc.",32,29,61
"Lineage Logistics, LLC",52,2,54
Smithfield Packaged Meats Corp.,28,10,38
"Lineage Logistics PFS, LLC",37,0,37
Wayne Farms LLC,10,23,33
Stefano's,0,32,32
"Americold Logistics, LLC",31,1,32
Stefano Foods,0,32,32
"Sanderson Farms, Inc.",9,22,31
TSD Sales and Distribution,0,31,31
Pilgrim's Pride Corporation,31,0,31
Covington Farms,0,24,24
Smithfield Fresh Meats Corp.,12,12,24
"Tyson Sales and Distribution, Inc.",3,20,23
Americold Logistics LLC,23,0,23
Wayne-Sanderson Farms,0,21,21
"Sanderson Farms, LLC",0,21,21
Americold Logistics,19,2,21
"Tyson Fresh Meats, Inc.",15,5,20
Cargill Meat Solutions,13,4,17
"Tyson Poultry, Inc.",0,17,17
Prospect Farms,0,17,17
The Hillshire Brands Company,14,1,15
Hormel Foods Corporation,5,10,15
Smithfield Pet,0,14,14
Farmland,0,13,13
Smithfield Farmland Sales Corp.,0,13,13
Smithfield Farmland Corp.,0,13,13
Armour Food Company,0,13,13
Windsor,0,12,12
Gwaltney,0,12,12
Village Butcher,0,12,12
Maple River Brand,0,12,12
Lundy's,0,12,12
Krakus Foods International,0,12,12
Lakeview,0,12,12
Hunter Krey Packing Co.,0,12,12
John Morrell & Co.,0,12,12
Northside Foods,0,12,12
Armour,0,12,12
"Patrick Cudahy, LLC",0,12,12
Roegelein,0,12,12
Spring Hill Brand,0,12,12
"Tobin's First Prize Meat Co., Inc.",0,12,12
Smithfield,0,12,12
Delightful Farms,0,12,12
Premium Farms,0,12,12
JBS USA Food Company,0,12,12
Hunter Packing Co.,0,12,12
Agar Foods,0,12,12
Ark Valley,0,12,12
Carando,0,12,12
Country Lean,0,12,12
Decker Food Company,0,12,12
OhSe,0,12,12
Golden Crisp Premium Foods,0,12,12
Farmstead,0,12,12
Curly's Foods,0,12,12
Kneip,0,12,12
Lineage Logistics LLC,12,0,12
Americold,11,1,12
Cargill Meat Solutions Corporation,11,1,12
United States Cold Storage,12,0,12
Swift Beef Company,7,5,12
Krey Packing Co.,0,11,11
"Farmland Foods, Inc.",0,11,11
John Morrell,0,11,11
Moyer Packing Co.,0,11,11
Premium Standard Farms,0,11,11
Healthy Ones,0,11,11
Premium Pet Health,0,11,11
"Racorn, Inc.",0,11,11
"Rath Blackhawk, Inc.",0,11,11
Eckrich,0,11,11
Rodeo Meats,0,11,11
Smithfield Packing Co.,0,11,11
"Rodeo Meats, Inc.",0,11,11
"Selective Petfood Services, Inc.",0,11,11
Mohawk Packing,0,11,11
Jamestown,0,11,11
Pure Farms,0,11,11
Aberdeen,0,11,11
Quick-To-Fix,0,11,11
Krakus,0,11,11
"Valleydale, Inc.",0,11,11
Kretschmar Deli,0,11,11
TSD Sales & Distribution,0,11,11
Tiffany Springs Packing Co.,0,11,11
Margherita,0,11,11
Moseys,0,11,11
"Kretschmar Brands, Inc.",0,11,11
"Sanderson Farms, Inc. (Processing Div)",2,9,11
Kretschmar,0,11,11
"Cook's Ham, Inc.",0,10,10
Pruden Packing Co.,0,10,10
"Saag's Products, LLC",0,10,10
Farmer John,0,10,10
"FJ Foodservice, LLC",0,10,10
Eastbay Packing Co.,0,10,10
Cook's Ham,0,10,10
"Clougherty Packing, LLC",0,10,10
American Farms,0,10,10
"Mohawk Provision, Inc.",0,10,10
"Peyton Packing Co., Inc.",0,10,10
Smithfield Foods,0,10,10
Curly's,0,10,10
Smithfield Fresh Meats Sales Corp.,0,10,10
Smithfield Packaged Meats Sales Corp.,0,10,10
Smithfield Fresh Meats,0,10,10
Patrick Cudahy,0,10,10
Michael Foods Egg Products Company,1,9,10
"Foster Poultry Farms, LLC",10,0,10
Perdue Foods LLC,10,0,10
"OSI Industries, LLC",10,0,10
"AdvancePierre Foods, Inc.",8,2,10
"Tyson Farms, Inc.",0,9,9
Swift Pork Company,8,1,9
"Keystone Foods, LLC",5,4,9
Harvestland,0,9,9
Kraft Heinz Foods Company,8,1,9
"Smithfield Foods, Inc.",0,9,9
"Tyson Foods, Inc",4,5,9
"The Smithfield Packing Co., Incorporated",0,9,9
"Vertical Cold Storage, LLC",8,0,8
"Partridge Meats, Inc.",0,8,8
814 America,0,8,8
Millard Refrigerated Services,0,8,8
"Tyson Prepared Foods, Inc.",6,2,8
LSG Sky Chefs,6,2,8
"Stampede Culinary Partners, Inc.",4,4,8
"Sweet Applewood Farms, Inc.",0,7,7
Country Pride,0,7,7
"Michael Foods, Inc.",0,7,7
Pine Ridge Farms,0,7,7
Nestle Prepared Foods Company,4,3,7
Lineage Logistics,5,2,7
Carolina Turkey,0,7,7
Howard County,0,7,7
Delta Valley,0,7,7
"Tyson Deli, Inc.",1,6,7
"IBP, Inc.",0,7,7
M.G. Waldbaum Company,7,0,7
"US Foods, Inc.",7,0,7
"Lineage Logistics Services, LLC",7,0,7
AmeriCold Logistics,6,1,7
Bachoco OK Foods,6,1,7
Gold Leaf,0,6,6
Spare Time,0,6,6
"Chef's Pantry, LLC",0,6,6
"Barber Foods, LLC",0,6,6
Swift & Company,0,6,6
Victor F. Weaver Co.,0,6,6
Coleman Natural Foods,0,6,6
Swift Premium,0,6,6
Jennie-O,0,6,6
Shenandoah Products,0,6,6
"Simmons Industries, Inc.",0,6,6
FreezPak Logistics,2,4,6
Kraft Heinz Company,3,3,6
"Butterball, LLC",6,0,6
"Daybreak Foods, Inc.",6,0,6
"Jennie-O Turkey Store, Inc.",1,5,6
Meatworks,1,5,6
JE Exports,4,2,6
Koch Foods,2,4,6
"Simmons Prepared Foods, Inc.",6,0,6
Blue Ribbon Farms,0,6,6
Carlton Farms,0,5,5
Coleman Natural,0,5,5
Swift Prepared Foods,0,5,5
Swift Foods Company,0,5,5
"Advance Food Company, Inc.",0,5,5
Sunland Poultry Co,0,5,5
Key Farms,0,5,5
Sara Lee Foodservice,0,5,5
Holly Farms,0,5,5
Festive Brand,0,5,5
Galileo Foods,0,5,5
Draper Valley,0,5,5
"Brennan Packing Co., Inc.",0,5,5
"Jerome Foods, Inc.",0,5,5
"The Turkey Store, Inc.",0,5,5
Sara Lee,0,5,5
Pierce Foods,0,5,5
Armour-Eckrich Meats LLC,0,5,5
Bachoco,0,5,5
Bonnie Maid,0,5,5
Surlean Foods,3,2,5
"Peco Foods, Inc.",5,0,5
"Tyson Fresh Meats, Inc",4,1,5
Performance Food Group,4,1,5
Tyson Food Service,0,5,5
JBS Prepared Foods,2,3,5
"United States Cold Storage, Inc.",5,0,5
Ajinomoto Foods North America,5,0,5
Busseto Foods,2,3,5
"Lineage Logistics MTC, LLC",5,0,5
Smithfield Bioscience,0,5,5
"Boar's Head Provisions Co., Inc.",5,0,5
Corfini Gourmet,2,3,5
Windsor Foods,1,4,5
Mountaire Farms Inc.,2,2,4
Mom's Meals,1,3,4
F&S Fresh Foods,1,3,4
PCC Logistics,1,3,4
J Bar B Foods,2,2,4
Blue Ridge Meats,2,2,4
Branding Iron Holdings,2,2,4
Pork Plus USA,0,4,4
US Foods,3,1,4
"Simmons Foods, Inc",0,4,4
"West Central Turkeys, LLC",0,4,4
"Simmons Poultry Farms, Inc.",0,4,4
"Johnsonville Foods, Inc.",0,4,4
Barber Foods,0,4,4
Envision Cold,4,0,4
Americold Farmers,0,4,4
"Armour Eckrich Meats, LLC",0,4,4
American Foods Group,0,4,4
"Tyson Refrigerated Processed Meats, Inc.",2,2,4
Evans Food Group,4,0,4
"Park 100 Foods, LLC",4,0,4
Mennonite Central Committee U.S.,4,0,4
"Johnsonville, LLC",3,1,4
Freshrealm,4,0,4
Gold Creek Processing LLC,4,0,4
Baxters North America,3,1,4
United States Cold Storage of California,4,0,4
"Smithfield Distribution, LLC",4,0,4
Indiana Packers Corporation,3,1,4
Monogram Foods,3,1,4
"Green Bay Dressed Beef, LLC",3,1,4
Vertical Cold Storage LLC,4,0,4
"Leidy's, LLC",4,0,4
"Hearthside Food Solutions, LLC d/b/a Maker's Pride",4,0,4
Sugar Creek Packing Co.,4,0,4
"SFC Global Supply Chain, Inc.",4,0,4
McLane Foodservice,4,0,4
"Ruiz Food Products, Inc.",4,0,4
"Perdue Foods, LLC",4,0,4
Jerome's Golden Glo,0,4,4
"Tyson Chicken, Inc.",0,4,4
Johnsonville Sausage,0,4,4
"Stampede Meat, Inc.",0,4,4
Lee Brands,0,4,4
World Kitchen,0,4,4
Daily's Premium Meats,1,3,4
Patti Jean,0,4,4
Georgia Boy Brand,0,4,4
"Jennie-O Foods, Inc.",0,4,4
Silver Birch Farms,0,4,4
Mission Hill Bistro,0,4,4
Chicken Plus USA,0,4,4
Stampede Meat,0,4,4
Chef Inside The Box,0,4,4
Sugardale Foods,0,4,4
MG Foods,2,2,4
Old Timer Brand,0,4,4
Cro-Magnon,0,4,4
McCarty Foods,0,4,4
Excel Corporation,0,4,4
Southland Brand,0,4,4
"Perri Sausage, Inc.",0,4,4
"Johnsonville Sausage, Inc.",0,4,4
Perri Sausage Company,0,4,4
Russer Foods,0,4,4
Fresh Mark Inc,0,4,4
Pilgrim's,0,4,4
Meat Plus USA,0,4,4
Silver Oak,0,4,4
Andy's Brands,0,4,4
"Sweet Applewood Farms, Inc",0,4,4
"Hudson Foods, Inc.",0,4,4
Daily's Pioneer Brand,0,3,3
Washington Creamery,0,3,3
Daily Foods,0,3,3
