"Establishment number","Name of the operator","Location Address","Mailing Address","Function Codes","Telephone Number","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
1,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES; MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTA EXCELLENTE FOODS; PERFERCT MANITOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHNEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF","870 LAGIMODIERE BLVD.   WINNIPEG MB R2J 0T9","6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1"," 3x 6fx 9B/US 11ADFGKV","(204) 233-2421 (204) 233-5413/F (204) 235-8273/I",49.880669,-97.074178,1,rooftop,"870 Lagimodiere Blvd",,"Winnipeg, MB R2J",870,"Lagimodiere Blvd",,,Winnipeg,MB,,R2J,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
001A,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GORUP; PASTA EXCELLENTE FOODS; PERFECT MANATOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHNEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF","4141 - 1ST AVE. S.   LETHBRIDGE AB T1J 4P8","   ","1d 3x 6x 8Y 11ADFGKRSVI","(403) 328-1756 (403) 327-0721/I (403) 327-9821/F",49.700481,-112.781511,1,rooftop,"4141 1st Ave S",,"Lethbridge, AB T1J",4141,"1st Ave S",,,Lethbridge,AB,,T1J,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
2,"PLAISIRS GASTRONOMIQUES INC.","3740; RUE LA V�RENDRYE   BOISBRIAND QC J7H 1R5","   "," 6fgx","(450) 433-0189 (450) 433-2131/F",45.636748,-73.85621,1,rooftop,"3740 Rue La Vérendrye",,"Sainte-Therese, QC J7H",3740,"Rue La Vérendrye",,,Sainte-Therese,QC,,J7H,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
4,"SOFINA FOODS INC./ ALIMENTS SOFINA INC.Also Doing Business As Name:   FEARMANS PORK","821 APPLEBY LINE   BURLINGTON ON L7L 4W9","   ","1d 3x 4Y 5Y 6x 11ADFGIKQRSV","(905) 637-2301 (905) 333-2941/F (905) 333-2934/I",43.377208,-79.7655,1,rooftop,"821 Appleby Line",,"Burlington, ON L7L",821,"Appleby Line",,,Burlington,ON,,L7L,CA,"City of Burlington (Datasets are publicly available from the City under these Terms of Use)"
7,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFILED NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE EAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTA EXCELLENTE FOODS; PERFECT MANITOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHNEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF","6355 RICHMOND AVENUE EAST   BRANDON MB R7A 7M5","   ","1d 3x 4Y 5Y 6x 11ADFGRSI","(204) 571-2500 (204) 571-2578/F Ext. 2606/I",49.826636,-99.884619,1,rooftop,"6355 Richmond Ave E",,"Brandon, MB R7A",6355,"Richmond Ave E",,,Brandon,MB,,R7A,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
007F,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTA EXCELLENTE FOODS; PERFECT MANITOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF","2619 - 91 AVENUE   EDMONTON AB T6P 1S3","6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1","1fi 3f 6f 11D","(905) 285-1615 (905) 285-6766/F (780) 417-4226/I",53.526575,-113.50346,1,place,,,"Edmonton, AB T6P",,,,,Edmonton,AB,,T6P,CA,"CanVec+ by Natural Resources Canada"
007M,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS;CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOURJERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN;FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS;GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEATCO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS;J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATIONMAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LESALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR;LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLELEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLELEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS;MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAFPREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS;MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTAEXCELLENTE FOODS; PERFECT MANITOBA PULLETS; PRIME POULTRY; PORCMAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRESGREENFIELD; SCHEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF;SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEYPROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD;VOLAILLE MAPLE LEAF","10 CANNING STREET WEST   BRANTFORD ON N3T 1P1","6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1"," 6fx 11AD","(519) 759-4751 (519)-759-1636/F EXT. 119/I",43.130197,-80.290969,1,rooftop,"10 Canning St",,"Brantford, ON N3T",10,"Canning St",,,Brantford,ON,,N3T,CA,"Brantford (Brantford Contains information licensed under the Open Government Licence – Brantford.)"
9,"L.G. H�BERT ET FILS LT�E.Also Doing Business As Name:   LES VIANDES OR-FIL INTERNATIONAL","428; RUE H�BERT   STE-H�LENE DE BAGOT QC J0H 1M0","   ","1d 3x 11ADFGKSQIV","(450) 791-2630 (450) 791-2968/F (450) 791-2247/I",45.592428,-73.091786,0.7,street_center,"Hébert Rue",HLENE,"Sainte-Madeleine, QC J0H",,"Hébert Rue",,HLENE,Sainte-Madeleine,QC,,J0H,CA,"CanVec+ by Natural Resources Canada"
10,"AGROMEX INC.Also Doing Business As Name:   F. M�NARD","168; RUE LAGUE   ANGE-GARDIEN QC J0E 1E0","251; ROUTE 235   ANGE-GARDIEN QC J0E 1E0","1d 3x 6x 11ADFGHIOQSVKR 12Y","(450) 293-3694 (450) 293-2622/F",45.363047,-72.941972,1,rooftop,"168 Rue Laguë",,"Ange-Gardien, QC J0E",168,"Rue Laguë",,,Ange-Gardien,QC,,J0E,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
11,"ELBEE MEAT PACKERS LIMITEDAlso Doing Business As Name:   ST. HELEN'S MEAT PACKERS : BEST MEATS","1 GLEN SCARLETT ROAD   TORONTO ON M6N 1P5","   ","1abcijh 3fx 6fx 11ABCDLSVP","(416) 769-1788 (416) 767-6046/I (416) 769-0649/F",43.674479,-79.47327,1,rooftop,"1 Glen Scarlett Rd",,"Toronto, ON M6N",1,"Glen Scarlett Rd",,,Toronto,ON,,M6N,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
