Plant Name_ Nom de l'usine,Plant Number_No. de l'usine,Address_Adresse,City_Ville,Province,Postal Code_Code postal,Telephone_Téléphone,Latitude,Longitude,Beef_Boeuf,"Buffalo,Yak_Bison, Yack","Veal, Light Calves_Veaux de boucherie, Veaux légers","Goats, Lamb, Sheep_Chèvres, Agneaux, Moutons","Deer, Elk_Cerfs, Élans ",Pigs_Porcs,"Chicken, Fowl_Poulet, Oiseaux de basse-cour",Turkeys_Dindes,"Ducks, Geese_Canards, Oies",Fancy Poultry_Volaille à chair fine,Rabbits_Lapins,"Emus, Ostrich, Rhea_Émeus, Autruches, Nandous","Alpaca, Llama_Alpaga, Lama",FSMP_ETVA,FP_ETVA avec abattoir,Animal Class_Catégorie d'animaux
DBA LEN & PATTI BUTCHER BLOCK,11,2133 Little Britain Rd,Lindsay,ON,K9V 4R2,(647) 460-5581,44.32503,-78.7492,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"Alpaca_Alpaga, Llama_Lama, Beef_Boeuf, Bison_Bison, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Highland Packers Ltd.,14,432 Highland Road E,Stoney Creek,ON,L8J 3G4,(905) 662-8396,43.1715,-79.73486,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,"Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Pigs_Porcs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Ontario Halal Meat Packers,18,5593 Highway #25,Milton,ON,L9T 2X5,(905) 875-0270,43.48256,-79.82663,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef_Boeuf, Light Calves_Veaux légers, Lambs_Agneaux, Goats_Chèvres, Sheep_Moutons, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Penokean Hills Farms,22,9450 Hwy 17E,Bruce Mines,ON,P0R 1C0,(705) 971-0506,46.30173,-83.7735,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,"Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Water Buffalo_Buffle d’Inde, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Grey County Meats,25,Rr 1,Maxwell,ON,N0C 1J0,(519) 922-2400,44.30467,-80.4237,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Alpaca_Alpaga, Llama_Lama, Bison_Bison, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Burt Farm Country Meats,27,1295 Tenth Line,Gore Bay,ON,P0P 1H0,(705) 282-0328,45.91464,-82.36766,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,"Turkeys_Dindes, Beef_Boeuf, Chicken_Poulet, Lambs_Agneaux, Pigs_Porcs, Fowl_Oiseaux de basse-cour, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Sunrise Halal Meat Packers Ltd.,30,5446 Sixteen Road,St. Anns,ON,L0R 1Y0,(416) 819-0270,43.07439,-79.49806,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Beef_Boeuf, Goats_Chèvres, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Veal_Veaux de boucherie, Light Calves_Veaux légers, Lambs_Agneaux, Sheep_Moutons, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Louro Bros. Meats Ltd.,34,"1142 Reidsville Road, Rr 1",Ayr,ON,N0B 1E0,(519) 632-7364,43.28055,-80.42611,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Veal_Veaux de boucherie, Light Calves_Veaux légers, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Millgrove Packers Limited,40,"549 Conc. 5 W., Rr 2",Waterdown,ON,L8B 0L5,(905) 689-6184,43.3333,-79.9816,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,"Pigs_Porcs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Hank Dekoning Limited,51,"1768 Hwy 6 South, Rr 1",Port Dover,ON,N0A 1N3,(519) 583-0115,42.81907,-80.14974,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,"Pigs_Porcs, Beef_Boeuf, Sheep_Moutons, Lambs_Agneaux, Goats_Chèvres, Water Buffalo_Buffle d’Inde, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
