country,id,establishment_name,legal_name,scian_code,activity_name,facility_type,street,settlement_type,settlement_name,city,municipality,state,postal_code,latitude,longitude,phone,email,website,employees_range,establishment_type,date_added
mx,11845140,ABONO DE LOMBRIZ EL AGUILA,GUILLERMINA TORRES CAMPOS  SC DE RL DE CV,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE Miguel Hidalgo KM 0+500,LOCALIDAD,EL AGUILA,EL AGUILA,Tepezalá,Aguascalientes,20635,22.19551252,-102.25728565,,,,0 a 5 personas,Fijo,2025-05
mx,11845143,ANCAGS RANICULTURA,,112519,Otra acuicultura,Aquaculture Facility,CIRCUITO Zinfandel KM 4+200,COLONIA,LOS NEGRITOS,LOS NEGRITOS,Aguascalientes,Aguascalientes,20326,21.87615395,-102.34264366,4491101944,,,6 a 10 personas,Fijo,2025-05
mx,10847159,BASCULA LAS ISABELES,,115210,Servicios relacionados con la cría y explotación de animales,Animal Farming Service,CARRETERA LOCALIDAD 800 DOMICILIO CONOCIDO,LOCALIDAD,LAS ISABELES,LAS ISABELES,Aguascalientes,Aguascalientes,20200,21.82674015,-102.32769647,,,,0 a 5 personas,Fijo,2024-11
mx,6166248,CENTRO ACUICOLA PABELLON DE HIDALGO,SAGARPA,112515,Piscicultura en agua dulce,Aquaculture Facility,OTRO(ESPECIFIQUE) CAMINO REAL 0 DOMICILIO CONOCIDO,LOCALIDAD,VIVERO PSIFACTORIA,VIVERO PSIFACTORIA,Rincón de Romos,Aguascalientes,,22.16777778,-102.3455556,,,WWW.GOB.MX,0 a 5 personas,Fijo,2010-07
mx,11479377,CRYOGEN,,115210,Servicios relacionados con la cría y explotación de animales,Animal Farming Service,CARRETERA LOCALIDAD 800 DOMICILIO CONOCIDO,LOCALIDAD,LAS ISABELES,LAS ISABELES,Aguascalientes,Aguascalientes,20200,21.82674015,-102.32769647,4499195298,,,0 a 5 personas,Semifijo,2024-11
mx,9745363,FITORGANICA,,115210,Servicios relacionados con la cría y explotación de animales,Animal Farming Service,CALLE PARRAS 410,LOCALIDAD,LA ESCONDIDA,LA ESCONDIDA,San Francisco de los Romo,Aguascalientes,20304,22.03649453,-102.2570088,,,,0 a 5 personas,Fijo,2024-11
mx,11845144,FLOMELI GRANJA ACUICOL,,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE Verano 102 SN Int. 0,LOCALIDAD,EL CARMEN,EL CARMEN,Tepezalá,Aguascalientes,20615,22.24414884,-102.22180811,,,,6 a 10 personas,Fijo,2025-05
mx,6166233,G ACUICOLA SANTA ROSA,,112515,Piscicultura en agua dulce,Aquaculture Facility,OTRO(ESPECIFIQUE) TERREMOTO 0 SN,LOCALIDAD,EL LLANO EL TERREMOTO,EL LLANO EL TERREMOTO,El Llano,Aguascalientes,,21.95629778,-101.99731194,,,,6 a 10 personas,Fijo,2014-12
mx,11356951,GRANJA ACUICOLA ALAN,,112515,Piscicultura en agua dulce,Aquaculture Facility,OTRO(ESPECIFIQUE) SAN AGUSTIN 0 DOMICILIO CONOCIDO,RANCHO,RANCHO NUEVO,RANCHO NUEVO,San Francisco de los Romo,Aguascalientes,,22.07394112,-102.1515042,4651177782,,,0 a 5 personas,Fijo,2024-11
mx,6166234,GRANJA ACUICOLA ARROYO DE LOS CABALLOS,,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE CUAUHTEMOC 102,COLONIA,ARROYO OJOCALIENTILLO,ARROYO OJOCALIENTILLO,Calvillo,Aguascalientes,,21.83725483,-102.71093072,4494281331,MARTINSAU2720@HOTMAIL.COM,,0 a 5 personas,Fijo,2014-12
