MPI ID Number,Risk Measure Type,Programme Type,Operator Business Name,Operator Trading Name,NZBN,Status,Effective Date,Expiry Date,Verification Agency,Is Suspended,Suspension Type,Suspension Start Date,Suspension End Date,Suspended Operations,Physical Address,Physical Town/City,Operator Local Authority,Number of Locations,Location Local Authority,Dairy ULIs,Fishing Vessel Name,Intended Use,Product/Material,Primary,Secondary Process,Market
"1202/01","Risk Management Programme","Dual operator butcher","Michael Brian Newman","","9429032320176","Registered","2005-08-23","","Ministry for Primary Industries - Verification Services","No","","","","","133 Maxwell Road","Blenheim","Marlborough District Council","1","Marlborough District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Boning/cutting, Boning/cutting;Refrigeration;Size reduction;Smoking, Collection, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"124/01","Risk Management Programme","Custom","Pacific Lab Holdings Limited","","9429030045361","Registered","2023-08-21","","Ministry for Primary Industries - Verification Services","No","","","","","8 Winefair Close, Cloudy Bay Business Park","Blenheim","Marlborough District Council","1","Marlborough District Council","124","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Animal products (non-dairy), Bee products, Casein, Caseinate, Colostrum products, Dairy material, Dairy products, Milk powders, Milk proteins, Nutritional powders excl IF & FOF, Speciality powders, Whey products","","Blending/mixing, Blending/mixing;Packing/repacking, Drying/reduction of water activity, Non-refrigerated storage (processes & receives external product), Packing/repacking, Transport",""
"1260/01","Risk Management Programme","Custom","New Zealand Nutritional Wellness Limited","","9429045978371","Registered","2023-09-05","","AsureQuality Limited","No","","","","","126 Pavilion Drive, Auckland Airport","Auckland","Auckland Council","1","Auckland Council","1260","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Colostrum products, Dairy products, Eggs, Fermented milk products, Milk powders, Non-AP, Nutritional powders excl IF & FOF, Speciality powders","","Blending/mixing, Blending/mixing;Formulation, Formulation, Non-refrigerated storage (processes & receives external product), Supplement manufacture",""
"135BIZCOM/01","Risk Management Programme","Chicken producers","Bizcom Solutions Limited","","9429039259691","Registered","2023-10-30","","Quality Consultants New Zealand Limited","No","","","","","135 Rangiotu Road","Himatangi","Manawatu District Council","1","Manawatu District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"1380/01","Risk Management Programme","Custom","New Zealand New Milk Limited","","9429031205931","Registered","2023-08-06","","FSQSNZ LIMITED","No","","","","","138 Pavilion Drive, Auckland Airport","Auckland","Auckland Council","2","Auckland Council","106, 1380","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Colostrum products, Dairy products, Follow-on formula, Infant formula, Milk powders, Nutritional powders excl IF & FOF, Speciality powders","","Blending/mixing, Formulation, Non-refrigerated storage (processes & receives external product), Product Development, Refrigerated storage (processes & receives external product), Transport",""
"1403/01","Risk Management Programme","Custom","Quality Foods Southland Limited","","9429036657186","Registered","2022-06-17","","AsureQuality Limited","No","","","","","1 Baker Street","Invercargill","Invercargill City Council","1","Invercargill City Council","1403","N/A","Human Consumption","Anhydrous milk fat, Butter, Colostrum, Dairy fat blends, Dairy products, Milk & cream based formulations, Unpasteurised milk products - milk & cream","","Formulation, Non-refrigerated storage (processes & receives external product), Packing/repacking, Packing/repacking;Refrigeration, Product Development, Refrigerated storage (processes & receives external product), Refrigeration, Repacking (product not exposed)",""
"1494/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Alpine Honey Specialties Limited","","9429040246482","Registered","2022-04-12","","AsureQuality Limited","No","","","","","198 Domain Road,RD2","HAWEA FLAT","Queenstown-Lakes District Council","1","Queenstown-Lakes District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Melting, Transport",""
"153WPARK/01","Risk Management Programme","Chicken producers","Willow Haven Limited","","9429036789467","Registered","2023-10-17","","Quality Consultants New Zealand Limited","No","","","","","[Private]","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"1688/01","Risk Management Programme","Custom","a2 Nutritionals NZ Limited","","9429030582309","Registered","2023-05-05","","AsureQuality Limited","No","","","","","66 McDonald Road","Pokeno","Auckland Council","1","Auckland Council","1688","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Dairy products, Follow-on formula, Infant formula, Milk & cream, Milk powders, Nutritional powders excl IF & FOF","","Blending/mixing, Drying/reduction of water activity, Evaporation, Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Separation, Thermal processing other than in-container retorting/UHT, Transfer Station, Transport",""
"170/01","Risk Management Programme","Custom","Bakels Edible Oils (NZ) Limited","","9429000023221","Registered","2022-12-01","","Ministry for Primary Industries - Verification Services","No","","","","","5 Hutton Place","Mount Maunganui","Tauranga City Council","1","Tauranga City Council","170","N/A","Animal Consumption, Animal Consumption (Feeds), Human Consumption, Not for human or animal consumption","Anhydrous milk fat, Animal fat, Animal products (non-dairy), Colostrum products, Dairy fat blends, Dairy material, Dairy products, Fats/oils, Fish oil, Milk & cream based formulations, Non-AP, Tallow","","Blending/mixing, Formulation, Formulation;Non-refrigerated storage (processes & receives external product), Formulation;Refining, Industrial Use, Labelling, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Thermal processing other than in-container retorting/UHT, Packing/repacking, Refining, Refrigerated storage (processes & receives external product), Thermal processing other than in-container retorting/UHT",""
