Plant Name_ Nom de l'usine,Plant Number_No. de l'usine,Address_Adresse,City_Ville,Province,Postal Code_Code postal,Telephone_Téléphone,Latitude,Longitude,Beef_Boeuf,"Buffalo,Yak_Bison, Yack","Veal, Light Calves_Veaux de boucherie, Veaux légers","Goats, Lamb, Sheep_Chèvres, Agneaux, Moutons","Deer, Elk_Cerfs, Élans ",Pigs_Porcs,"Chicken, Fowl_Poulet, Oiseaux de basse-cour",Turkeys_Dindes,"Ducks, Geese_Canards, Oies",Fancy Poultry_Volaille à chair fine,Rabbits_Lapins,"Emus, Ostrich, Rhea_Émeus, Autruches, Nandous","Alpaca, Llama_Alpaga, Lama",FSMP_ETVA,FP_ETVA avec abattoir,Animal Class_Catégorie d'animaux
Burt Farm Country Meats,27,1295 Tenth Line,Gore Bay,ON,P0P 1H0,(705) 282-0328,45.91464,-82.36766,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,"Turkeys_Dindes, Beef_Boeuf, Chicken_Poulet, Lambs_Agneaux, Pigs_Porcs, Fowl_Oiseaux de basse-cour, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Highgate Tender Meats Ltd.,109,14680 Hastings Line,Highgate,ON,N0P 1T0,(519) 678-3383,42.5109,-81.8233,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Light Calves_Veaux légers, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Chicken Little,125,50639 Glencolin Line,Aylmer,ON,N5H 2R3,(519) 765-3295,42.79422,-80.94057,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Chicken_Poulet, Fowl_Oiseaux de basse-cour, Turkeys_Dindes, Geese_Oies, Ducks_Canards, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Cloverbelt Country Meats Cooperative Inc.,135,60 Griffiths Road,Oxdrift,ON,P0V 2J0,(807) 937-6716,49.81231,-93.05,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,"Pigs_Porcs, Turkeys_Dindes, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Light Calves_Veaux légers, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Bison_Bison, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Sprucedale Meats,159,438 4Th Avene,Sprucedale,ON,P0A 1Y0,(705) 685-7747,45.49015,-79.46227,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,"Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Fancy Poultry_Volaille à chair fine, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Bison_Bison, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Hilts Butcher Shop Ltd.,182,"1948 7Th Line, Asphodel, Rr 3",Norwood,ON,K0L 2V0,(705) 696-2172,44.34786,-77.99855,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,"Fowl_Oiseaux de basse-cour, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Light Calves_Veaux légers, Pigs_Porcs, Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Turkeys_Dindes, Chicken_Poulet, Rabbits_Lapins, Bison_Bison, Water Buffalo_Buffle d’Inde, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Simcoe Street Meat Packers,191,18619 Simcoe St,Oakwood,ON,K0M 2M0,(416) 560-6595,44.32687,-78.99571,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,"Ducks_Canards, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Veal_Veaux de boucherie, Light Calves_Veaux légers, Lambs_Agneaux, Goats_Chèvres, Deer_Cerfs, Elk_Élans, Water Buffalo_Buffle d’Inde, Bison_Bison, Llama_Lama, Yak_Yacks, Fancy Poultry_Volaille à chair fine, Geese_Oies, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Ratites, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Northorizon Abattoir,224,290 Deplonty Road,Bruce Mines,ON,P0R 1C0,(705) 941-8132,46.33306,-83.85394,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,"Fancy Poultry_Volaille à chair fine, Ducks_Canards, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Alpaca_Alpaga, Bison_Bison, Water Buffalo_Buffle d’Inde, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Fancy Poultry_Volaille à chair fine, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
A-Mar Meats,246,1981 Red Deer Road E.,Val Gagne,ON,P0K 1W0,(705) 232-6328,48.59478,-80.57892,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,"Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Alpaca_Alpaga, Yak_Yacks, Bison_Bison, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Rainy River District Regional Abattoir Inc.,256,"Box 299, 26 Byng Street",Emo,ON,P0W 1E0,(807) 482-3028,48.63617,-93.8371,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"Bison_Bison, Elk_Élans, Goats_Chèvres, Beef_Boeuf, Sheep_Moutons, Pigs_Porcs, Heavy Calves_Veaux lourds, Rabbits_Lapins, Chicken_Poulet, Turkeys_Dindes, Geese_Oies, Ducks_Canards, Fancy Poultry_Volaille à chair fine, Lambs_Agneaux, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Birch Lake Abattoir,299,"556 Birch Lake Road, Rr 3",Massey,ON,P0P 1P0,(705) 865-1366,46.24868,-82.0479,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,"Llama_Lama, Bison_Bison, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Alpaca_Alpaga, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Belle Vallee,303,982125 Belle Vallee Road,Belle Vallee,ON,P0J 1A0,(705) 647-7419,47.6542,-79.60578,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,"Beef_Boeuf, Pigs_Porcs, Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Bison_Bison, Water Buffalo_Buffle d’Inde, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Sargent Farms,351,61 Garden Lane,Milton,ON,L9T 2P7,(905) 878-4401,43.5134,-79.88542,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Chicken_Poulet, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Abate Packers,355,7597 Jones Baseline,Arthur,ON,N0G 1A0,(519) 848-2107,43.82312,-80.52396,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Morrison Custom Poultry Processing Ltd.,509,"3711 Lindsay Highway, Rr 3",Omemee,ON,K0L 2W0,(705) 799-7468,44.2924,-78.5881,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,"Lambs_Agneaux, Goats_Chèvres, Pigs_Porcs, Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Sheep_Moutons, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Schefter Poultry Processing Ltd.,512,44783 Harriston Road,Gorrie,ON,N0G 1X0,(519) 335-6791,43.8802,-81.0675,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Ducks_Canards, Geese_Oies, Turkeys_Dindes, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Lowbank Farms Ltd.,518,4510 Hwy 6,Hagersville,ON,N0A 1H0,(905) 481-4824,42.99678,-80.01945,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Chicken_Poulet, Turkeys_Dindes, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Brennan Poultry,522,7109 Mosside Line,Alvinston,ON,N0N 1A0,(519) 695-6412,42.73303,-81.93684,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Rabbits_Lapins, Chicken_Poulet, Fowl_Oiseaux de basse-cour, Turkeys_Dindes, Geese_Oies, Ducks_Canards, Fancy Poultry_Volaille à chair fine, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Clarington Poultry,525,70 Mearns Crt.,Bowmanville,ON,L1C 4A2,(416) 834-3157,43.90321,-78.66618,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chicken_Poulet
Laplante Poultry Farms Ltd/Ferme Avicole Laplante Ltée,527,17141 Rombough Road,Monkland,ON,K0C 1V0,(613) 835-4440,45.1781,-74.88498,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Chicken_Poulet, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Berube Poultry,529,10135 Mcintyre Rd,Mountain,ON,K0E 1S0,(613) 989-2020,44.99161,-75.50326,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Chicken_Poulet, Turkeys_Dindes, Ducks_Canards, Geese_Oies, Fancy Poultry_Volaille à chair fine, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Arvaspring Farms Ltd.,533,"22370 Adelaide Street North, Rr 3",Ilderton,ON,N0M 2A0,(519) 659-5054,43.09277,-81.28412,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Chicken_Poulet, Fowl_Oiseaux de basse-cour, Turkeys_Dindes, Geese_Oies, Ducks_Canards, Fancy Poultry_Volaille à chair fine, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
287 Farm Production Inc.,538,287 Proudfoot Rd.,Powassan,ON,P0H 1Z0,(416) 300-2990,46.03479,-79.32576,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,"Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Turkeys_Dindes, Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
ENS Poultry Inc.,555,6424 8Th Line Pilkington,Elora,ON,N0B 1S0,(519) 846-9290,43.63847,-80.46728,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,"Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Ratites, Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Rua Meats,565,"275 Frankford Road, Rr 1",Foxboro,ON,K0K 2B0,(647) 990-5090,44.2335,-77.4451,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Geese_Oies, Ducks_Canards, Rabbits_Lapins, Chicken_Poulet, Fowl_Oiseaux de basse-cour, Turkeys_Dindes, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
King Capon Ltd.,581,18347 Warden Avenue,Sharon,ON,L0G 1V0,(905) 478-2382,44.09796,-79.38502,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Chicken_Poulet, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
King Cole Ducks Ltd.,588,15336 Warden Avenue,Newmarket,ON,L3Y 4W1,(905) 836-9461,44.02506,-79.37115,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,"Chicken_Poulet, Fowl_Oiseaux de basse-cour, Turkeys_Dindes, Geese_Oies, Ducks_Canards, Fancy Poultry_Volaille à chair fine, Fancy Poultry_Volaille à chair fine, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Sheik Halal Farms Inc.,590,"193064 Amaranth East, Luther Townline",Grand Valley,ON,L9W 0M3,(905) 828-5857,43.88345,-80.29952,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,"Ducks_Canards, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Country Poultry Processing,594,"7707  4Th Line, Rr 2",Wallenstein,ON,N0B 2S0,(519) 698-9930,43.67181,-80.67332,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Chicken_Poulet, Fowl_Oiseaux de basse-cour, Turkeys_Dindes, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Amir Specialty Poultry,599,7514 Wellington Road 109,Arthur,ON,N0G 1A0,(519) 321-1309,43.83458,-80.61825,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Chicken_Poulet, Fancy Poultry_Volaille à chair fine, Fancy Poultry_Volaille à chair fine, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Baksh Poultry Plant Inc.,600,7611 Kimbo Road,Smithville,ON,L0R 2A0,(905) 999-6697,43.12438,-79.61081,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,"Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Chicken_Poulet, Fowl_Oiseaux de basse-cour, Turkeys_Dindes"
Creek Edge Poultry,603,981441 Belle Vallee Road,Belle Vallee,ON,P0J 1A0,(705) 647-2411,47.6534,-79.56617,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,"Rabbits_Lapins, Fancy Poultry_Volaille à chair fine, Chicken_Poulet, Fowl_Oiseaux de basse-cour, Turkeys_Dindes, Geese_Oies, Ducks_Canards, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
