Plant Name_ Nom de l'usine,Plant Number_No. de l'usine,Address_Adresse,City_Ville,Province,Postal Code_Code postal,Telephone_Téléphone,Latitude,Longitude,Beef_Boeuf,"Buffalo,Yak_Bison, Yack","Veal, Light Calves_Veaux de boucherie, Veaux légers","Goats, Lamb, Sheep_Chèvres, Agneaux, Moutons","Deer, Elk_Cerfs, Élans ",Pigs_Porcs,"Chicken, Fowl_Poulet, Oiseaux de basse-cour",Turkeys_Dindes,"Ducks, Geese_Canards, Oies",Fancy Poultry_Volaille à chair fine,Rabbits_Lapins,"Emus, Ostrich, Rhea_Émeus, Autruches, Nandous","Alpaca, Llama_Alpaga, Lama",FSMP_ETVA,FP_ETVA avec abattoir,Animal Class_Catégorie d'animaux
V. G. Packers Limited,52,"966 Concession 6 Woodhouse, Rr 5",Simcoe,ON,N3Y 4K4,(519) 426-2000,42.84599,-80.22095,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,"Pigs_Porcs, Sheep_Moutons, Lambs_Agneaux, Goats_Chèvres, Rabbits_Lapins, Beef_Boeuf, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Charles Quality Meats,65,"1476 Wilby Road, Rr 1",Wilmot,ON,N0B 2L0,(519) 886-7931,43.44871,-80.62474,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,"Rabbits_Lapins, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Light Calves_Veaux légers, Beef_Boeuf, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Light Calves_Veaux légers, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Willie's Meats Ltd.,82,"2387 4Th Conc. West, Rr 1",Troy,ON,L0R 2B0,(519) 647-3160,43.27888,-80.20132,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,"Beef_Boeuf, Rabbits_Lapins, Llama_Lama, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Weiland Meats Ltd.,95,340 Centre Street,Petrolia,ON,N0N 1R0,(519) 882-1215,42.88545,-82.14834,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,"Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Rabbits_Lapins, Ratites, Goats_Chèvres, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Highgate Tender Meats Ltd.,109,14680 Hastings Line,Highgate,ON,N0P 1T0,(519) 678-3383,42.5109,-81.8233,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,"Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Light Calves_Veaux légers, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Cloverbelt Country Meats Cooperative Inc.,135,60 Griffiths Road,Oxdrift,ON,P0V 2J0,(807) 937-6716,49.81231,-93.05,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,"Pigs_Porcs, Turkeys_Dindes, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Light Calves_Veaux légers, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Bison_Bison, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Sprucedale Meats,159,438 4Th Avene,Sprucedale,ON,P0A 1Y0,(705) 685-7747,45.49015,-79.46227,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,"Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Fancy Poultry_Volaille à chair fine, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Bison_Bison, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
L & M Meat Distributing,161,2487 14Th Line,Gilford,ON,L0L 1R0,(905) 775-6775,44.19685,-79.60032,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,"Beef_Boeuf, Rabbits_Lapins, Alpaca_Alpaga, Llama_Lama, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Hilts Butcher Shop Ltd.,182,"1948 7Th Line, Asphodel, Rr 3",Norwood,ON,K0L 2V0,(705) 696-2172,44.34786,-77.99855,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,"Fowl_Oiseaux de basse-cour, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Light Calves_Veaux légers, Pigs_Porcs, Fancy Poultry_Volaille à chair fine, Ducks_Canards, Geese_Oies, Turkeys_Dindes, Chicken_Poulet, Rabbits_Lapins, Bison_Bison, Water Buffalo_Buffle d’Inde, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Simcoe Street Meat Packers,191,18619 Simcoe St,Oakwood,ON,K0M 2M0,(416) 560-6595,44.32687,-78.99571,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,"Ducks_Canards, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Veal_Veaux de boucherie, Light Calves_Veaux légers, Lambs_Agneaux, Goats_Chèvres, Deer_Cerfs, Elk_Élans, Water Buffalo_Buffle d’Inde, Bison_Bison, Llama_Lama, Yak_Yacks, Fancy Poultry_Volaille à chair fine, Geese_Oies, Turkeys_Dindes, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Ratites, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
