Plant Name_ Nom de l'usine,Plant Number_No. de l'usine,Address_Adresse,City_Ville,Province,Postal Code_Code postal,Telephone_Téléphone,Latitude,Longitude,Beef_Boeuf,"Buffalo,Yak_Bison, Yack","Veal, Light Calves_Veaux de boucherie, Veaux légers","Goats, Lamb, Sheep_Chèvres, Agneaux, Moutons","Deer, Elk_Cerfs, Élans ",Pigs_Porcs,"Chicken, Fowl_Poulet, Oiseaux de basse-cour",Turkeys_Dindes,"Ducks, Geese_Canards, Oies",Fancy Poultry_Volaille à chair fine,Rabbits_Lapins,"Emus, Ostrich, Rhea_Émeus, Autruches, Nandous","Alpaca, Llama_Alpaga, Lama",FSMP_ETVA,FP_ETVA avec abattoir,Animal Class_Catégorie d'animaux
DBA LEN & PATTI BUTCHER BLOCK,11,2133 Little Britain Rd,Lindsay,ON,K9V 4R2,(647) 460-5581,44.32503,-78.7492,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"Alpaca_Alpaga, Llama_Lama, Beef_Boeuf, Bison_Bison, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Penokean Hills Farms,22,9450 Hwy 17E,Bruce Mines,ON,P0R 1C0,(705) 971-0506,46.30173,-83.7735,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,"Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Water Buffalo_Buffle d’Inde, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Grey County Meats,25,Rr 1,Maxwell,ON,N0C 1J0,(519) 922-2400,44.30467,-80.4237,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Alpaca_Alpaga, Llama_Lama, Bison_Bison, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Hank Dekoning Limited,51,"1768 Hwy 6 South, Rr 1",Port Dover,ON,N0A 1N3,(519) 583-0115,42.81907,-80.14974,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,"Pigs_Porcs, Beef_Boeuf, Sheep_Moutons, Lambs_Agneaux, Goats_Chèvres, Water Buffalo_Buffle d’Inde, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Townsend Butchers Inc.,58,419 Conc. 14 East,Simcoe,ON,N3Y 4K3,(519) 426-6750,42.86357,-80.2755,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"Pigs_Porcs, Alpaca_Alpaga, Yak_Yacks, Llama_Lama, Bison_Bison, Water Buffalo_Buffle d’Inde, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Peel Sausage Inc.,61,7860 6Th Line,Drayton,ON,N0G 1P0,(519) 638-3446,43.70078,-80.68116,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,"Alpaca_Alpaga, Sheep_Moutons, Bison_Bison, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Veal_Veaux de boucherie, Light Calves_Veaux légers, Llama_Lama, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Miedema's Meat Market Ltd,68,"129 Huron Street, Po Box 389",Embro,ON,N0J 1J0,(519) 475-4010,43.15498,-80.90137,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,"Water Buffalo_Buffle d’Inde, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Beef_Boeuf, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Norwich Packers Ltd.,75,11 Robson Street,Norwich,ON,N0J 1P0,(519) 468-3617,42.97754,-80.59832,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,"Beef_Boeuf, Veal_Veaux de boucherie, Water Buffalo_Buffle d’Inde, Alpaca_Alpaga, Veal_Veaux de boucherie, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
2573508 Ontario Inc.,87,"223 Mcwatty Road, Po Box 51",Pakenham,ON,K0A 2X0,(613) 624-5222,45.1919,-76.1749,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,"Deer_Cerfs, Goats_Chèvres, Bison_Bison, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Veal_Veaux de boucherie, Light Calves_Veaux légers, Sheep_Moutons, Lambs_Agneaux, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Smelser Meats,92,"4643 Highway #3, Rr 4",Cayuga,ON,N0A 1E0,(905) 772-5053,42.94217,-79.89382,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,"Pigs_Porcs, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Veal_Veaux de boucherie, Light Calves_Veaux légers, Sheep_Moutons, Lambs_Agneaux, Llama_Lama, Bison_Bison, Water Buffalo_Buffle d’Inde, Goats_Chèvres, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
