Plant Name_ Nom de l'usine,Plant Number_No. de l'usine,Address_Adresse,City_Ville,Province,Postal Code_Code postal,Telephone_Téléphone,Latitude,Longitude,Beef_Boeuf,"Buffalo,Yak_Bison, Yack","Veal, Light Calves_Veaux de boucherie, Veaux légers","Goats, Lamb, Sheep_Chèvres, Agneaux, Moutons","Deer, Elk_Cerfs, Élans ",Pigs_Porcs,"Chicken, Fowl_Poulet, Oiseaux de basse-cour",Turkeys_Dindes,"Ducks, Geese_Canards, Oies",Fancy Poultry_Volaille à chair fine,Rabbits_Lapins,"Emus, Ostrich, Rhea_Émeus, Autruches, Nandous","Alpaca, Llama_Alpaga, Lama",FSMP_ETVA,FP_ETVA avec abattoir,Animal Class_Catégorie d'animaux
DBA LEN & PATTI BUTCHER BLOCK,11,2133 Little Britain Rd,Lindsay,ON,K9V 4R2,(647) 460-5581,44.32503,-78.7492,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"Alpaca_Alpaga, Llama_Lama, Beef_Boeuf, Bison_Bison, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Grey County Meats,25,Rr 1,Maxwell,ON,N0C 1J0,(519) 922-2400,44.30467,-80.4237,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"Pigs_Porcs, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Alpaca_Alpaga, Llama_Lama, Bison_Bison, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Townsend Butchers Inc.,58,419 Conc. 14 East,Simcoe,ON,N3Y 4K3,(519) 426-6750,42.86357,-80.2755,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"Pigs_Porcs, Alpaca_Alpaga, Yak_Yacks, Llama_Lama, Bison_Bison, Water Buffalo_Buffle d’Inde, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Peel Sausage Inc.,61,7860 6Th Line,Drayton,ON,N0G 1P0,(519) 638-3446,43.70078,-80.68116,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,"Alpaca_Alpaga, Sheep_Moutons, Bison_Bison, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Veal_Veaux de boucherie, Light Calves_Veaux légers, Llama_Lama, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
2573508 Ontario Inc.,87,"223 Mcwatty Road, Po Box 51",Pakenham,ON,K0A 2X0,(613) 624-5222,45.1919,-76.1749,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,"Deer_Cerfs, Goats_Chèvres, Bison_Bison, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Veal_Veaux de boucherie, Light Calves_Veaux légers, Sheep_Moutons, Lambs_Agneaux, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Green's Meat Market And Abattoir Ltd.,117,237 Arthur Street,Wingham,ON,N0G 2W0,(519) 357-2912,43.8973,-81.3129,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Pigs_Porcs, Sheep_Moutons, Lambs_Agneaux, Goats_Chèvres, Deer_Cerfs, Bison_Bison, Llama_Lama, Alpaca_Alpaga, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Agram 2005 Meats Inc.,130,10676 Trafalgar Road,Georgetown,ON,L7G 4S5,(905) 877-6082,43.61909,-79.91417,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,"Llama_Lama, Alpaca_Alpaga, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Bison_Bison, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Cloverbelt Country Meats Cooperative Inc.,135,60 Griffiths Road,Oxdrift,ON,P0V 2J0,(807) 937-6716,49.81231,-93.05,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,"Pigs_Porcs, Turkeys_Dindes, Beef_Boeuf, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Heavy Calves_Veaux lourds, Light Calves_Veaux légers, Fowl_Oiseaux de basse-cour, Chicken_Poulet, Rabbits_Lapins, Bison_Bison, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
Windcrest Meat Packers,158,1350 Scugog - 3Rd Line,Port Perry,ON,L9L 1B3,(905) 985-7267,44.05195,-78.95901,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, Pigs_Porcs, Bison_Bison, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Pigs_Porcs, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
L & M Meat Distributing,161,2487 14Th Line,Gilford,ON,L0L 1R0,(905) 775-6775,44.19685,-79.60032,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,"Beef_Boeuf, Rabbits_Lapins, Alpaca_Alpaga, Llama_Lama, Water Buffalo_Buffle d’Inde, Elk_Élans, Deer_Cerfs, Goats_Chèvres, Lambs_Agneaux, Sheep_Moutons, Light Calves_Veaux légers, Veal_Veaux de boucherie, Heavy Calves_Veaux lourds, Beef-Dairy Calves_Veaux de boucherie ou de race laitière, Beef_Boeuf, FP (Further Processing)_Établissements de transformation des viandes avec abattoir"
