establishment_id,establishment_number,establishment_name,duns_number,street,city,state,zip,phone,grant_date,type,activities,dbas,district,circuit,size,latitude,longitude,county,fips_code,meat_exemption_custom_slaughter,poultry_exemption_custom_slaughter,slaughter,meat_slaughter,beef_cow_slaughter,steer_slaughter,heifer_slaughter,bull_stag_slaughter,dairy_cow_slaughter,heavy_calf_slaughter,bob_veal_slaughter,formula_fed_veal_slaughter,non_formula_fed_veal_slaughter,market_swine_slaughter,sow_slaughter,roaster_swine_slaughter,boar_stag_swine_slaughter,stag_swine_slaughter,feral_swine_slaughter,goat_slaughter,young_goat_slaughter,adult_goat_slaughter,sheep_slaughter,lamb_slaughter,deer_reindeer_slaughter,antelope_slaughter,elk_slaughter,bison_slaughter,buffalo_slaughter,water_buffalo_slaughter,cattalo_slaughter,yak_slaughter,other_voluntary_livestock_slaughter,rabbit_slaughter,poultry_slaughter,young_chicken_slaughter,light_fowl_slaughter,heavy_fowl_slaughter,capon_slaughter,young_turkey_slaughter,young_breeder_turkey_slaughter,old_breeder_turkey_slaughter,fryer_roaster_turkey_slaughter,duck_slaughter,goose_slaughter,pheasant_slaughter,quail_slaughter,guinea_slaughter,ostrich_slaughter,emu_slaughter,rhea_slaughter,squab_slaughter,other_voluntary_poultry_slaughter,slaughter_or_processing_only,slaughter_only_class,slaughter_only_species,meat_slaughter_only_species,poultry_slaughter_only_species,slaughter_volume_category,processing_volume_category,beef_processing,pork_processing,antelope_processing,bison_processing,buffalo_processing,deer_processing,elk_processing,goat_processing,other_voluntary_livestock_processing,rabbit_processing,reindeer_processing,sheep_processing,yak_processing,chicken_processing,duck_processing,goose_processing,pigeon_processing,ratite_processing,turkey_processing,exotic_poultry_processing,other_voluntary_poultry_processing
11845140,11845140,ABONO DE LOMBRIZ EL AGUILA,,CALLE Miguel Hidalgo KM 0+500,EL AGUILA,Aguascalientes,20635,,2025-05,Aquaculture Farm,Piscicultura en agua dulce,GUILLERMINA TORRES CAMPOS  SC DE RL DE CV,,,,22.19551252,-102.25728565,Tepezalá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11845143,11845143,ANCAGS RANICULTURA,,CIRCUITO Zinfandel KM 4+200,LOS NEGRITOS,Aguascalientes,20326,4491101944,2025-05,Aquaculture Farm,Otra acuicultura,,,,,21.87615395,-102.34264366,Aguascalientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10847159,10847159,BASCULA LAS ISABELES,,CARRETERA LOCALIDAD 800 DOMICILIO CONOCIDO,LAS ISABELES,Aguascalientes,20200,,2024-11,Farm / Breeder,Servicios relacionados con la cría y explotación de animales,,,,,21.82674015,-102.32769647,Aguascalientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166248,6166248,CENTRO ACUICOLA PABELLON DE HIDALGO,,OTRO(ESPECIFIQUE) CAMINO REAL 0 DOMICILIO CONOCIDO,VIVERO PSIFACTORIA,Aguascalientes,,,2010-07,Aquaculture Farm,Piscicultura en agua dulce,SAGARPA,,,,22.16777778,-102.3455556,Rincón de Romos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11479377,11479377,CRYOGEN,,CARRETERA LOCALIDAD 800 DOMICILIO CONOCIDO,LAS ISABELES,Aguascalientes,20200,4499195298,2024-11,Farm / Breeder,Servicios relacionados con la cría y explotación de animales,,,,,21.82674015,-102.32769647,Aguascalientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9745363,9745363,FITORGANICA,,CALLE PARRAS 410,LA ESCONDIDA,Aguascalientes,20304,,2024-11,Farm / Breeder,Servicios relacionados con la cría y explotación de animales,,,,,22.03649453,-102.2570088,San Francisco de los Romo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11845144,11845144,FLOMELI GRANJA ACUICOL,,CALLE Verano 102 SN Int. 0,EL CARMEN,Aguascalientes,20615,,2025-05,Aquaculture Farm,Piscicultura en agua dulce,,,,,22.24414884,-102.22180811,Tepezalá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166233,6166233,G ACUICOLA SANTA ROSA,,OTRO(ESPECIFIQUE) TERREMOTO 0 SN,EL LLANO EL TERREMOTO,Aguascalientes,,,2014-12,Aquaculture Farm,Piscicultura en agua dulce,,,,,21.95629778,-101.99731194,El Llano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11356951,11356951,GRANJA ACUICOLA ALAN,,OTRO(ESPECIFIQUE) SAN AGUSTIN 0 DOMICILIO CONOCIDO,RANCHO NUEVO,Aguascalientes,,4651177782,2024-11,Aquaculture Farm,Piscicultura en agua dulce,,,,,22.07394112,-102.1515042,San Francisco de los Romo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166234,6166234,GRANJA ACUICOLA ARROYO DE LOS CABALLOS,,CALLE CUAUHTEMOC 102,ARROYO OJOCALIENTILLO,Aguascalientes,,4494281331,2014-12,Aquaculture Farm,Piscicultura en agua dulce,,,,,21.83725483,-102.71093072,Calvillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
