"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6281096","01001311612000016001000000U9","ALIMENTOS PREFORMADOS","ALIMENTOS PREFORMADOS SA DE CV","311612","Corte y empacado de carne de ganado, aves y otros animales comestibles","251 y más personas","AVENIDA","MEX A ACAPULCO KM 87+850","CALLE","SILVESTRE GÓMEZ","CALLE","AUTOPISTA MÉXICO A ACAPULCO","CALLE","MARÍA DEL CARMEN MARTÍN DEL CAMPO","602","KM 87+850","EDIFICIO SIN NOMBRE","PLANTA BAJA",,,"COLONIA","UNIDAD GANADERA",,,,"20130","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0233","009",,"ALIMENTOS@UGASA.COM.MX",,"Fijo","21.90593638","-102.30930202","2010-07"
"6883791","01005311613000084001000000U6","AMARO ALIMENTOS","AMARO ALIMENTOS SA","311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","251 y más personas","CERRADA","CERRADA MECANICOS","AVENIDA","CHICHIMECO","CALLE","FUNDIDORES","OTRO(ESPECIFIQUE)","CHICHIMECO","100",,,,"7",,"PARQUE INDUSTRIAL","CHICHIMECO","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL CHICHIMECO","SN",,"01","AGUASCALIENTES","005","Jesús María","0506","Parque Industrial Chichimeco (PICH)","0016","002","4499117430","GERENCIA.RRHH@AMAROALIMENTOS.COM",,"Fijo","21.99177328","-102.33896103","2019-04"
"11180196","01003311613000021000000000U3","CARNE SECA MONTORO",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","MOCTEZUMA","CALLE","ESPAÑA","PRIVADA","16 DE SEPTIEMBRE","CALLE","NINGUNO","0","SN",,,,,"COLONIA","OJOCALIENTE",,,,"20834","01","AGUASCALIENTES","003","Calvillo","0055","Ojocaliente","0172","023","4951198630",,,"Fijo","21.87989988","-102.67588288","2024-11"
"9346800","01003311612000012000000000U4","CARNES SECA DE RES EL CORRAL",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","JESUS GOMEZ PORTUGAL","CALLE","CENTENARIO","CALLE","CRISTOBAL COLON","CALLE","IGNACIO ZARAGOZA","108",,,,,,"COLONIA","CENTRO",,,,"20800","01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0204","031","4951039909","ELCORRALCS@HOTMAIL.COM",,"Fijo","21.84554242","-102.71738164","2021-05"
"8387971","01005311612000053000000000U3","CARNICOS DON DIEGO",,"311612","Corte y empacado de carne de ganado, aves y otros animales comestibles","11 a 30 personas","AVENIDA","MUEBLEROS","AVENIDA","CHICHIMECO","AVENIDA","MUEBLEROS","AVENIDA","CHICHIMECO","241",,,,,,"PARQUE INDUSTRIAL","CHICHIMECO",,,,"20910","01","AGUASCALIENTES","005","Jesús María","0506","Parque Industrial Chichimeco (PICH)","0016","007",,"CARNESFG@GMAIL.COM",,"Fijo","21.98929132","-102.33782792","2019-11"
"7666718","01007311611000031000000000U7","CASA DE MATANZA",,"311611","Matanza de ganado, aves y otros animales comestibles","0 a 5 personas","AVENIDA","INSURGENTES ORIENTE","CALLE","DELFINO V. ARAUJO","PRIVADA","GUEL JIMENEZ","CALLE","DOCTOR FRANCISCO GUEL JIMENEZ","700",,,,"0","SN","BARRIO","DE GUADALUPE",,,,"20405","01","AGUASCALIENTES","007","Rincón de Romos","0001","Rincón de Romos","0237","024",,,,"Fijo","22.22801055","-102.31402659","2019-11"
"16267","01001311613000021000000000U7","CHORIZO BALDOVIN",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","COLORIN","CALLE","KUTZU","CALLE","LEUCAENA","CALLE","SIRATRO","113",,,,"0",,"FRACCIONAMIENTO","EL COBANO",,,,"20158","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1693","018",,,,"Fijo","21.90804778","-102.27969972","2010-07"
"9632","01001461150000971000000000U4","CHORIZO SINALOENSE",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","SOLOM SABRE","CALLE","ROSAURA ZAPATA","AVENIDA","MAHATMA GANDHI","CALLE","MOHENO QUERIDO","114",,,,"0",,"COLONIA","SAN PEDRO",,,,"20280","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1458","006","4499174968",,,"Fijo","21.84362787","-102.29481829","2010-07"
"8593273","01005311613000102000000000U6","CHORIZO Y EMBUTIDOS EL INDIO",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","6 a 10 personas","CALLE","VIÑEDOS VIDES","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","VIÑEDOS CARIÑAN","219",,,,,,"LOCALIDAD","CENTRAL DE ABASTOS VIÑEDOS SAN MARCOS",,,,"20907","01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","031",,,,"Fijo","21.96986322","-102.29156248","2019-11"
"11494060","01005311613000151000000000U3","CHORIZOS DEL ARTESANO",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","CALZADA VILLA PLATA","CALLE","NINGUNO","OTRO(ESPECIFIQUE)","SENDERO","CALLE","NINGUNO","300",,"PLAZA MATTIA","PLANTA BAJA","2",,"FRACCIONAMIENTO","ALCAZAR","EDIFICIO COMERCIAL Y DE SERVICIOS","PLAZA MATTIA","2","20908","01","AGUASCALIENTES","005","Jesús María","0001","Jesús María","068A","025","4491560271",,,"Fijo","21.95234435","-102.3156178","2024-11"
