establishment_id,establishment_name,street,city,state,zip,latitude,longitude,type,slaughter,animals_slaughtered_list,animals_processed_list,phone,grant_date,dbas,slaughter_volume_category,processing_volume_category
1202/01,Michael Brian Newman,133 Maxwell Road,Blenheim,Marlborough District Council,,0.0,0.0,Risk Management Programme - Dual operator butcher,No,,"Animal products (non-dairy), Poultry, Red meat",,2005-08-23,,,
124/01,Pacific Lab Holdings Limited,"8 Winefair Close, Cloudy Bay Business Park",Blenheim,Marlborough District Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bee products, Casein, Caseinate, Colostrum products, Dairy material, Dairy products, Milk powders, Milk proteins, Nutritional powders excl IF & FOF, Speciality powders, Whey products",,2023-08-21,,,
1260/01,New Zealand Nutritional Wellness Limited,"126 Pavilion Drive, Auckland Airport",Auckland,Auckland Council,,-36.9820593,174.7728616,Risk Management Programme - Custom,No,,"Colostrum products, Dairy products, Eggs, Fermented milk products, Milk powders, Non-AP, Nutritional powders excl IF & FOF, Speciality powders",,2023-09-05,,,
135BIZCOM/01,Bizcom Solutions Limited,135 Rangiotu Road,Himatangi,Manawatu District Council,,-40.3938098,175.3306359,Risk Management Programme - Chicken producers,No,,Broiler (meat) chickens,,2023-10-30,,,
1380/01,New Zealand New Milk Limited,"138 Pavilion Drive, Auckland Airport",Auckland,Auckland Council,,-36.9816643,174.7742605,Risk Management Programme - Custom,No,,"Colostrum products, Dairy products, Follow-on formula, Infant formula, Milk powders, Nutritional powders excl IF & FOF, Speciality powders",,2023-08-06,,,
1403/01,Quality Foods Southland Limited,1 Baker Street,Invercargill,Invercargill City Council,,-46.4140918,168.3926485,Risk Management Programme - Custom,No,,"Anhydrous milk fat, Butter, Colostrum, Dairy fat blends, Dairy products, Milk & cream based formulations, Unpasteurised milk products - milk & cream",,2022-06-17,,,
1494/01,Alpine Honey Specialties Limited,"198 Domain Road,RD2",HAWEA FLAT,Queenstown-Lakes District Council,,0.0,0.0,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Beeswax, Honey",,2022-04-12,,,
153WPARK/01,Willow Haven Limited,[Private],Auckland,Auckland Council,,-36.9832291,174.8561414,Risk Management Programme - Chicken producers,No,,Broiler (meat) chickens,,2023-10-17,,,
1688/01,a2 Nutritionals NZ Limited,66 McDonald Road,Pokeno,Auckland Council,,-37.251881,175.01967,Risk Management Programme - Custom,No,,"Dairy products, Follow-on formula, Infant formula, Milk & cream, Milk powders, Nutritional powders excl IF & FOF",,2023-05-05,,,
170/01,Bakels Edible Oils (NZ) Limited,5 Hutton Place,Mount Maunganui,Tauranga City Council,,-37.6613877,176.1998605,Risk Management Programme - Custom,No,,"Anhydrous milk fat, Animal fat, Animal products (non-dairy), Colostrum products, Dairy fat blends, Dairy material, Dairy products, Fats/oils, Fish oil, Milk & cream based formulations, Non-AP, Tallow",,2022-12-01,,,
173TC/01,Central Gold Eggs Limited,"173 Roxburgh East Road, RD 1",Roxburgh,Central Otago District Council,,0.0,0.0,Risk Management Programme - Eggs,No,,"Eggs, Layer chickens, Rearer laying chickens",,2022-06-14,,,
1772014/01,Midlife Limited,177 Grange Road,BURNHAM,Christchurch City Council,,-43.6058622,172.2864234,Risk Management Programme - Eggs,No,,Eggs,,2022-02-01,,,
17888/01,Winston Nutritional Limited,"37 Banks Road, Mt Wellington",Auckland,Auckland Council,,-36.8985625,174.8357515,Risk Management Programme - Custom,No,,"Dairy products, Follow-on formula, Infant formula, Milk powders, Nutritional powders excl IF & FOF",,2023-04-03,,,
1816/01,Geraldine Cheese Company Limited,76G Talbot Street,Geraldine,Timaru District Council,,0.0,0.0,Risk Management Programme - Custom,No,,"Butter, Dairy material, Dairy products, Fermented milk products, Firm and hard cheese (MSNF < 60%), Milk & cream, Soft & semi-soft cheese (MSNF > 60%)",,2021-12-13,,,
1886/01,Sherry Valley Apiaries Limited,"160 Sherry River Road, RD 2",Wakefield,Nelson City Council,,0.0,0.0,Risk Management Programme - Bee products - Bulk honey storage,No,,"Bee products, Beeswax",,2022-12-09,,,
1948308/01,Otaika Valley Free Range Eggs Limited,"725 State Highway 1, RD 8",Whangarei,Whangarei District Council,,0.0,0.0,Risk Management Programme - Eggs,No,,Eggs,,2021-11-29,,,
1955/01,Quentin Reardon,"Unit 14, Redwood Shopping Centre,5 Tarawera Road,Lynmore",Rotorua,Rotorua Lakes Council,,0.0,0.0,Risk Management Programme - Dual operator butcher,No,,"Animal products (non-dairy), Poultry, Red meat",,2016-09-16,Quinny's Redwood Butchery,,
1984/01,Graeme Hodges & Sheree Hodges,128 Studholme Street,Morrinsville,Matamata-Piako District Council,,-37.6524728,175.523311,Risk Management Programme - Dual operator butcher,No,,"Animal products (non-dairy), Fish, Poultry, Red meat",,2014-11-26,Mootown Meats,,
1ARTISAN/01,Artisan Meats Limited,"87 Brigham Creek Road, Whenuapai",Auckland,Auckland Council,,-36.7934161,174.6159638,Risk Management Programme - Dual operator butcher,No,,"Animal products (non-dairy), Red meat",,2016-03-04,Meat Merchant,,
1CHOOKFARM/01,The Chook Farm Limited,"Lambert Road, Purua",Whangarei,Whangarei District Council,,0.0,0.0,Risk Management Programme - Eggs,No,,Eggs,,2023-06-02,,,
1EASTSIDE/01,Stephen Scannell & Diane Scannell Partnership,4 Denmark Street,Temuka,Ashburton District Council,,-44.2437246,171.2797202,Risk Management Programme - Dual operator butcher,No,,"Animal products (non-dairy), Poultry, Red meat",,2005-07-04,Eastside Butchery Temuka,,
1EDGE/01,Edgecomb Honey Limited,"1 Edgehaven Lane, Otakiri",Whakatane,Whakatane District Council,,0.0,0.0,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Beeswax, Honey",,2006-06-15,,,
1LINMEATS/01,Deutsches Eck Limited,6/9 Gerald Street,Lincoln,Christchurch City Council,,-43.6414753,172.4739946,Risk Management Programme - Dual operator butcher,No,,"Animal products (non-dairy), Poultry, Red meat",,2011-11-15,,,
1LNZ/01,Lawand (New Zealand) Limited,"Unit C, 35 Keeling Road, Henderson",Auckland,Auckland Council,,0.0,0.0,Risk Management Programme - Stores - Cold and Dry,No,,"Animal products (non-dairy), Bee products, Dairy products, Fats/oils, Non-AP",,2023-09-12,,,
1OTAKIMEAT/01,Tender Cuts Limited,294 Oxford Street,Levin,Horowhenua District Council,,-40.6282495,175.2804633,Risk Management Programme - Dual operator butcher,No,,"Animal products (non-dairy), Poultry, Red meat",,2020-09-08,Saville's Gourmet Butchery,,
1S2SL/01,One Sheep Two Sheep Limited,292 Days Road,Springston,Selwyn District Council,,-43.6713211,172.4390941,Risk Management Programme - Custom,No,,"Dairy material, Dairy products, Unpasteurised milk products - milk & cream",,2022-12-14,,,
1SR/01,Scottys Meats 1 Limited,2 Kansas Street,Martinborough,South Wairarapa District Council,,-41.2178268,175.4598258,"Risk Management Programme - Dual operator butcher, Dual operator butcher - Attachment U, Meat at Stalls",No,,"Animal products (non-dairy), Eggs, Fish, Non-AP, Poultry, Red meat",,2023-04-04,,,
1SWEETLIFE/01,The SweetLife 2021 Limited,"506C McLaren Falls Road, RD 1",Tauranga,Tauranga City Council,,0.0,0.0,Risk Management Programme - Bee products - Bulk honey storage,No,,"Bee products, Beeswax, Comb honey, Honey",,2023-03-10,,,
