Customer Number_x,Account Name,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County,Customer Number_y,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals,latitude,longitude,Exception Report
2,Utah State University,87-R-0002,Class R - Research Facility,Active,,V.P. FOR RESEARCH/1450 OLD MAIN HILL,,"LOGAN, UT 84322",Cache,2,2024,,,83.0,1440.0,,,230.0,22.0,88.0,,41.641189,-111.896571,False
3,Brigham Young University,87-R-0003,Class R - Research Facility,Active,,Research Administration Office,"A-285, ASB","PROVO, UT 84602",Utah,3,2024,,,,,,,,,,,40.356343,-111.732476,False
5,Weber State University,87-R-0008,Class R - Research Facility,Active,,3850 Dixon Parkway Department 1027,,"OGDEN, UT 84408",Weber,5,2024,,,,,,,,,,,41.193322,-111.946133,False
12,University of Utah,87-R-0001,Class R - Research Facility,Active,,OFFICE OF COMPARATIVE MEDICINE,"75 SOUTH 2000 EAST, SUITE 311","SALT LAKE CITY, UT 84112",Salt Lake,12,2024,43.0,8.0,151.0,,290.0,27.0,151.0,101.0,,,40.765868,-111.840284,True
15,University of Alaska Fairbanks,96-R-0001,Class R - Research Facility,Active,,PO Box 756980,1033 Sheenjek Dr. 103 BiRD Bldg.,"Fairbanks, AK 99775",Fairbanks North Star,15,2024,,,,,,,,,23.0,,67.094545,-149.336012,False
16,University of Wyoming,83-R-0001,Class R - Research Facility,Active,,1000 E. University Ave.,Department 3355,"Laramie, WY 82071",Albany,16,2024,,,,,,,,30.0,,,41.312911,-105.591332,False
17,Eastern Wyoming College,83-R-0004,Class R - Research Facility,Active,,3200 WEST C STREET,,"TORRINGTON, WY 82240",Goshen,17,2024,79.0,102.0,3.0,2.0,14.0,,,,64.0,,42.078716,-104.19059,False
18,Queens Medical Center,95-R-0003,Class R - Research Facility,Active,,1301 PUNCHBOWL STREET,,"HONOLULU, HI 96813",Honolulu,18,2024,,,,,,,,,,,21.307871,-157.853918,False
19,University of Hawaii System,95-R-0002,Class R - Research Facility,Active,,"2425 Campus Road, Sinclair 10",,"Honolulu, HI 96822",Honolulu,19,2024,118.0,69.0,12.0,,5.0,,82.0,,230.0,,21.299141,-157.82035,False
39,Connecticut College,16-R-0017,Class R - Research Facility,Active,,270 MOHEGAN AVENUE,,"NEW LONDON, CT 06320",New London,39,2024,,,,,,,,,,,41.378836,-72.106367,False
44,UCONN Health Center,16-R-0025,Class R - Research Facility,Active,,263 FARMINGTON AVENUE,,"FARMINGTON, CT 06030",Hartford,44,2024,,,,,136.0,,,,,,41.73173,-72.7912,True
45,University Of Delaware,50-R-0006,Class R - Research Facility,Active,,79 E DELAWARE AVENUE,,"NEWARK, DE 19711",New Castle,45,2024,,,,,,,,,,,39.681711,-75.75014,False
46,Quinnipiac University,16-R-0060,Class R - Research Facility,Active,,275 Mount Carmel Avenue,EC-BMS Biomedical Sciences,"Hamden, CT 06518",New Haven,46,2024,,,,,,,,,,,41.417969,-72.892989,False
47,The Nemours Foundation (ALFRED I DUPONT HOSPITAL FOR CHILDREN),50-R-0009,Class R - Research Facility,Active,,1600 ROCKLAND RD,,"WILMINGTON, DE 19803",New Castle,47,2024,,,,,,,,45.0,,,39.779401,-75.555531,False
48,Yale University,16-R-0001,Class R - Research Facility,Active,,OFFICE OF RESEARCH ADMIN,PO BOX 208327,"NEW HAVEN, CT 06520",New Haven,48,2024,12.0,,69.0,432.0,20.0,101.0,2.0,92.0,,,41.365709,-72.927507,True
50,John B. Pierce Laboratory,16-R-0057,Class R - Research Facility,Cancelled,,290 Congress Ave,,"New Haven, CT 06519",New Haven,50,2024,,,,,,,,57.0,,,41.301838,-72.932516,False
51,Hartford Hospital,16-R-0007,Class R - Research Facility,Active,,"DIR., PRECLINICAL RES. DEPT, CRANE 4, 80 SEYMOUR STREET, P O BOX 5037",,"HARTFORD, CT 06102",Hartford,51,2024,,,,,,,,53.0,,,41.791776,-72.718832,False
52,University of Connecticut,16-R-0008,Class R - Research Facility,Active,,"438 Whitney Rd Ext. Unit 1006, Whetten Grad Center",,"Storrs, CT 06269",Tolland,52,2024,,,36.0,,71.0,,,,25.0,,41.805827,-72.250644,True
55,Boehringer Ingelheim Pharmaceuticals Inc,16-R-0029,Class R - Research Facility,Active,,"900 RIDGEBURY ROAD,  BOX 368",ATTN: Animal Resources,"RIDGEFIELD, CT 06877",Fairfield,55,2024,44.0,,,,10.0,67.0,,,,,41.375007,-73.526267,False
56,"Sea Research Foundation, Inc (Mystic Aquarium)",16-R-0031,Class R - Research Facility,Active,,55 Coogan Blvd.,,"Mystic, CT 06355",New London,56,2024,,,,,,,,,,,41.373372,-71.952474,False
59,Childrens National Medical Center (CHILDRENS RESEARCH INSTITUTE),10-R-0011,Class R - Research Facility,Active,,"111 MICHIGAN AVENUE, NW, ROOM 115",,"WASHINGTON, DC 20010",District of Columbia,59,2024,,,15.0,,,,,73.0,,,38.927687,-77.013754,True
61,The CT Agriculture Experiment Station,16-R-0039,Class R - Research Facility,Active,,123 HUNTINGTON STREET,BOX 1106,"NEW HAVEN, CT 06504",New Haven,61,2024,,,3.0,,2.0,,,,,,41.331011,-72.918871,False
66,MedStar Health Research Institute (WASHINGTON HOSPITAL CENTER),10-R-0001,Class R - Research Facility,Active,,GEORGE HYMAN MEM.RESEARCH BLDG RM 126,108 IRVING STREET NW,"WASHINGTON, DC 20010",District of Columbia,66,2024,,,,,56.0,,,88.0,,,38.844589,-77.016057,False
68,"Bushover's Biologicals, Inc.",11-R-0012,Class R - Research Facility,Active,,992 CROSS HILL ROAD,,"VASSALBORO, ME 04989",Kennebec,68,2024,,,,,25.0,,,,14.0,,44.396293,-69.64573,False
